,Film,Release year,Director,Production companies,Rank
85,Mutiny on the Bounty,1935,Frank Lloyd,Metro-Goldwyn-Mayer,86
86,Frankenstein,1931,James Whale,Universal Pictures,87
87,Easy Rider,1969,Dennis Hopper,"The Pando Company, Raybert Productions",88
88,Patton,1970,Franklin J. Schaffner,20th Century-Fox,89
89,The Jazz Singer,1927,Alan Crosland,"Warner Bros. Pictures, The Vitaphone Corp.",90
90,My Fair Lady,1964,George Cukor,Warner Bros. Pictures,91
91,A Place in the Sun,1951,George Stevens,Paramount Pictures,92
92,The Apartment,1960,Billy Wilder,The Mirisch Company,93
93,Goodfellas,1990,Martin Scorsese,"Warner Bros. Pictures, Irwin Winkler Productions",94
94,Pulp Fiction,1994,Quentin Tarantino,"A Band Apart, Jersey Films",95
95,The Searchers,1956,John Ford,C. V. Whitney Pictures,96
96,Bringing Up Baby,1938,Howard Hawks,RKO Radio Pictures,97
97,Unforgiven,1992,Clint Eastwood,The Malpaso Company,98
98,Guess Who's Coming to Dinner,1967,Stanley Kramer,Columbia Pictures,99
99,Yankee Doodle Dandy,1942,Michael Curtiz,Warner Bros. Pictures,100
